timestamp,user,action,space,object_id,data_sensitivity,bytes,device,ip
2026-01-01T00:00:44,peer1,view,general-eng,DOC-1021,internal,15943,corp-laptop-14,10.8.86.166
2026-01-01T00:04:20,peer5,view,general-eng,DOC-0217,internal,4661,corp-workstation-7,10.70.44.25
2026-01-01T00:10:48,peer1,view,general-eng,DOC-0546,restricted,16355,corp-laptop-14,10.213.59.35
2026-01-01T00:12:18,engineer.a,view,ai-orchestrator,DOC-0361,restricted,12943,corp-laptop-11,10.176.114.107
2026-01-01T00:12:21,peer1,view,oncall-runbooks,DOC-0578,internal,6405,corp-laptop-22,10.171.126.225
2026-01-01T00:17:51,peer5,view,general-eng,DOC-0380,internal,11129,corp-laptop-14,10.111.132.86
2026-01-01T00:20:59,engineer.a,view,general-eng,DOC-1093,internal,18369,corp-laptop-14,10.1.1.39
2026-01-01T00:23:52,peer1,view,oncall-runbooks,DOC-0694,restricted,12523,corp-workstation-7,10.32.146.228
2026-01-01T00:29:36,peer1,view,accelerator-arch,DOC-0075,restricted,16698,corp-laptop-14,10.39.28.180
2026-01-01T00:38:15,peer5,view,accelerator-arch,DOC-0484,restricted,9152,corp-laptop-11,10.84.53.31
2026-01-01T00:42:07,peer1,view,general-eng,DOC-0400,internal,11920,corp-laptop-11,10.119.214.135
2026-01-01T00:50:39,peer2,view,ai-orchestrator,DOC-0340,restricted,19563,corp-laptop-11,10.55.97.131
2026-01-01T00:50:48,peer5,view,general-eng,DOC-1150,internal,5142,corp-laptop-11,10.36.96.84
2026-01-01T00:50:48,peer4,view,oncall-runbooks,DOC-0536,internal,6525,corp-laptop-22,10.48.29.90
2026-01-01T00:52:16,peer4,view,general-eng,DOC-0112,restricted,4401,corp-laptop-14,10.170.196.188
2026-01-01T00:53:38,peer3,view,oncall-runbooks,DOC-0758,internal,7535,corp-laptop-22,10.112.133.239
2026-01-01T00:54:21,peer3,view,general-eng,DOC-0386,internal,3450,corp-laptop-22,10.44.128.146
2026-01-01T00:58:10,peer2,view,general-eng,DOC-0655,crown_jewel,7431,corp-laptop-22,10.230.99.11
2026-01-01T00:59:22,engineer.a,view,general-eng,DOC-0521,internal,18540,corp-laptop-14,10.78.46.62
2026-01-01T01:00:59,engineer.a,view,oncall-runbooks,DOC-0551,internal,14772,corp-workstation-7,10.44.94.23
2026-01-01T01:12:44,peer1,view,general-eng,DOC-0159,internal,7305,corp-workstation-7,10.169.249.213
2026-01-01T01:13:21,peer5,view,oncall-runbooks,DOC-1119,internal,17905,corp-laptop-22,10.133.252.140
2026-01-01T01:13:22,peer1,view,accelerator-arch,DOC-0934,internal,3089,corp-laptop-11,10.178.114.52
2026-01-01T01:13:47,peer1,view,accelerator-arch,DOC-0296,internal,6749,corp-laptop-22,10.201.79.12
2026-01-01T01:14:23,engineer.a,view,general-eng,DOC-1177,internal,16426,corp-laptop-11,10.60.73.216
2026-01-01T01:19:30,peer3,view,general-eng,DOC-0982,restricted,17571,corp-laptop-11,10.7.214.101
2026-01-01T01:25:32,peer3,view,general-eng,DOC-1001,restricted,14077,corp-laptop-14,10.188.44.57
2026-01-01T01:26:52,peer2,view,oncall-runbooks,DOC-0864,restricted,13667,corp-laptop-22,10.199.230.109
2026-01-01T01:27:18,peer5,view,general-eng,DOC-0653,internal,6581,corp-laptop-22,10.98.47.50
2026-01-01T01:28:03,peer3,view,ai-orchestrator,DOC-0769,internal,17069,corp-laptop-11,10.14.89.247
2026-01-01T01:36:13,peer2,view,general-eng,DOC-0289,internal,6103,corp-laptop-22,10.162.155.12
2026-01-01T01:46:39,peer3,view,general-eng,DOC-0062,internal,9362,corp-workstation-7,10.22.254.56
2026-01-01T01:52:32,peer4,view,oncall-runbooks,DOC-0073,internal,13048,corp-laptop-11,10.156.122.106
