timestamp,user,action,repo,repo_sensitivity,bytes_out,device,ip
2026-01-01T00:17:04,engineer.a,git_fetch,general-tools,internal,47763426,corp-workstation-7,10.75.9.44
2026-01-01T02:13:33,peer1,git_archive_download,accelerator-arch,restricted,362277380,corp-workstation-7,10.115.230.231
2026-01-01T03:12:00,engineer.a,git_pull,smartnic-fw,restricted,49655218,corp-laptop-14,10.158.235.63
2026-01-01T03:40:51,peer2,git_fetch,smartnic-fw,restricted,32854909,corp-laptop-11,10.117.56.38
2026-01-01T03:46:51,engineer.a,git_clone,build-pipelines,internal,229134307,corp-laptop-14,10.73.156.44
2026-01-01T05:21:06,peer1,git_fetch,general-tools,internal,41404564,corp-workstation-7,10.238.202.103
2026-01-01T06:34:05,engineer.a,git_fetch,accelerator-arch,restricted,44870113,corp-laptop-14,10.0.155.201
2026-01-01T06:41:23,peer4,git_fetch,ai-orchestrator,crown_jewel,40488380,corp-laptop-11,10.230.34.246
2026-01-01T07:20:22,peer5,git_clone,general-tools,internal,52519724,corp-laptop-14,10.11.77.157
2026-01-01T07:39:51,peer2,git_fetch,smartnic-fw,restricted,21458252,corp-laptop-14,10.132.148.58
2026-01-01T08:48:49,engineer.a,git_fetch,accelerator-arch,restricted,29593282,corp-laptop-14,10.38.164.115
2026-01-01T10:45:41,peer4,git_archive_download,accelerator-arch,restricted,163690471,corp-laptop-14,10.100.172.238
2026-01-01T11:39:39,engineer.a,git_archive_download,accelerator-arch,restricted,108708194,corp-laptop-14,10.2.253.14
2026-01-01T11:48:22,peer3,git_clone,accelerator-arch,restricted,201386688,corp-workstation-7,10.154.138.18
2026-01-01T12:15:37,engineer.a,git_fetch,smartnic-fw,restricted,20322841,corp-workstation-7,10.92.139.183
2026-01-01T12:37:57,peer1,git_archive_download,accelerator-arch,restricted,201348064,corp-laptop-22,10.125.3.214
2026-01-01T13:39:23,peer5,git_archive_download,general-tools,internal,139644254,corp-laptop-22,10.68.16.38
2026-01-01T13:54:31,peer3,git_pull,general-tools,internal,30605475,corp-workstation-7,10.96.233.181
2026-01-01T13:55:29,peer5,git_fetch,smartnic-fw,restricted,49558369,corp-workstation-7,10.48.187.246
2026-01-01T14:29:04,engineer.a,git_archive_download,build-pipelines,internal,227730612,corp-laptop-14,10.93.236.113
2026-01-01T15:16:50,peer4,git_clone,smartnic-fw,restricted,171192952,corp-workstation-7,10.76.139.221
2026-01-01T15:43:40,peer1,git_fetch,accelerator-arch,restricted,8776910,corp-laptop-14,10.244.154.141
