timestamp,user,device,dest_domain,dest_category,http_method,bytes_out,process_name,user_agent
2026-01-01T00:16:25,peer3,corp-laptop-11,onedrive-personal.example,personal_cloud_storage,GET,40634,chrome.exe,curl/8.0
2026-01-01T00:38:00,peer5,corp-laptop-14,artifact.orchid.example,internal,GET,49395,chrome.exe,Mozilla/5.0
2026-01-01T02:10:12,engineer.a,corp-laptop-14,docs.orchid.example,internal,GET,20026,chrome.exe,Mozilla/5.0
2026-01-01T02:48:31,peer4,corp-laptop-22,github.com,code_hosting,GET,32947,python,Mozilla/5.0
2026-01-01T02:53:17,peer1,corp-laptop-22,artifact.orchid.example,internal,GET,18499,chrome.exe,Mozilla/5.0
2026-01-01T03:02:14,peer3,corp-workstation-7,mail.personal.example,webmail,GET,48837,chrome.exe,Mozilla/5.0
2026-01-01T03:05:30,peer1,corp-laptop-11,intranet.orchid.example,internal,GET,3496,chrome.exe,Mozilla/5.0
2026-01-01T03:11:47,peer4,corp-laptop-22,git.orchid.example,internal,GET,31165,git,curl/8.0
2026-01-01T03:15:00,peer1,corp-workstation-7,box.example,personal_cloud_storage,GET,41113,chrome.exe,Mozilla/5.0
2026-01-01T03:18:18,peer3,corp-laptop-22,onedrive-personal.example,personal_cloud_storage,GET,16825,chrome.exe,Mozilla/5.0
2026-01-01T03:38:36,engineer.a,corp-laptop-22,github.com,code_hosting,GET,1694,chrome.exe,Mozilla/5.0
2026-01-01T03:53:18,peer4,corp-laptop-22,box.example,personal_cloud_storage,GET,15569,chrome.exe,Mozilla/5.0
2026-01-01T04:11:36,peer4,corp-laptop-22,onedrive-personal.example,personal_cloud_storage,GET,25435,chrome.exe,python-requests/2.x
2026-01-01T04:18:22,peer3,corp-laptop-14,box.example,personal_cloud_storage,POST,42003,chrome.exe,Mozilla/5.0
2026-01-01T04:21:08,peer2,corp-laptop-22,docs.orchid.example,internal,POST,33856,chrome.exe,Mozilla/5.0
2026-01-01T05:03:33,peer1,corp-laptop-22,mail.personal.example,webmail,GET,2232,chrome.exe,Mozilla/5.0
2026-01-01T05:05:44,peer1,corp-laptop-11,drive.personal.example,personal_cloud_storage,GET,10103,curl,Mozilla/5.0
2026-01-01T05:29:35,peer2,corp-laptop-22,mail.personal.example,webmail,GET,33766,curl,Mozilla/5.0
2026-01-01T05:35:23,peer2,corp-laptop-22,drive.personal.example,personal_cloud_storage,POST,36192,chrome.exe,Mozilla/5.0
2026-01-01T05:38:51,peer1,corp-laptop-14,stackoverflow.com,web,GET,38237,chrome.exe,Mozilla/5.0
2026-01-01T05:42:42,peer1,corp-laptop-14,box.example,personal_cloud_storage,GET,20367,edge.exe,curl/8.0
2026-01-01T05:46:56,peer5,corp-laptop-22,stackoverflow.com,web,GET,35439,chrome.exe,Mozilla/5.0
2026-01-01T05:57:28,peer1,corp-laptop-22,box.example,personal_cloud_storage,GET,22464,chrome.exe,Mozilla/5.0
2026-01-01T06:53:11,peer4,corp-laptop-14,git.orchid.example,internal,GET,18490,edge.exe,curl/8.0
2026-01-01T07:26:09,peer2,corp-laptop-22,drive.personal.example,personal_cloud_storage,GET,12007,python,Mozilla/5.0
2026-01-01T07:32:47,engineer.a,corp-laptop-22,artifact.orchid.example,internal,GET,43008,chrome.exe,Mozilla/5.0
2026-01-01T07:36:02,peer4,corp-workstation-7,onedrive-personal.example,personal_cloud_storage,GET,24808,edge.exe,Mozilla/5.0
2026-01-01T07:36:33,peer1,corp-workstation-7,git.orchid.example,internal,GET,15276,chrome.exe,Mozilla/5.0
2026-01-01T07:56:54,peer4,corp-laptop-22,github.com,code_hosting,GET,32002,chrome.exe,curl/8.0
2026-01-01T08:05:22,engineer.a,corp-laptop-14,git.orchid.example,internal,GET,13424,chrome.exe,Mozilla/5.0
2026-01-01T08:27:52,engineer.a,corp-laptop-14,git.orchid.example,internal,GET,36014,chrome.exe,Mozilla/5.0
2026-01-01T08:53:21,peer4,corp-laptop-11,box.example,personal_cloud_storage,GET,15637,chrome.exe,Mozilla/5.0
2026-01-01T09:02:14,peer5,corp-laptop-22,github.com,code_hosting,GET,17815,chrome.exe,Mozilla/5.0
2026-01-01T09:21:41,peer5,corp-laptop-11,drive.personal.example,personal_cloud_storage,GET,7503,chrome.exe,Mozilla/5.0
